32304,nan,9,34
4960,0.051526471724838395,-0.03999999999999204,9,35
13882,0.051526471724838395,0.025000000000005684,9,36
15199,0.051526471724838395,0.054000000000002046,9,37
6881,0.051526471724838395,0.043000000000000684,9,38
4121,0.11580030880082785,0.017000000000001594,9,39
8120,-0.05149330587022662,-0.012999999999999547,9,40
5825,-0.11109135008210085,-0.005760000000000787,9,41
4050,0.08524336852948099,0.0066199999999994935,9,42
4106,0.05148005148005952,0.006000000000000227,9,43
4469,0.0,-0.014619999999999323,9,44
3400,-0.06439150032195383,-0.015240000000001431,9,45
2865,0.0772101402650728,-0.0049999999999997165,9,46
3625,-0.05149993562507023,0.005000000000001137,9,47
2448,0.03861003861004007,-0.0019999999999996024,9,48
5499,-0.07727975270479427,0.0030000000000001137,9,49
3725,0.051493305870244914,0.0089999999999975,9,50
2300,-0.06440808965607545,0.010000000000000854,9,51
1400,0.03862992531547919,0.009000000000001762,9,52
1900,0.05148005148005952,-0.009999999999999433,9,53
1330,-0.1030662200463776,0.0049999999999997165,9,54
1400,-0.03866477638871135,0.011999999999997613,9,55
1400,-0.025783163594186198,0.029000000000000626,9,56
3425,0.038659793814434455,0.025000000000002843,9,57
2342,0.05151983513653562,-0.004999999999998295,9,58
583,0.051493305870244914,-0.025000000000001424,9,59
6401,0.02574002574002062,-0.03400000000000319,10,0
31168,-0.25806451612903597,0.013999999999998637,10,1
5034,0.07735946364105502,0.03400000000000034,10,2
75799,0.012891581797074779,0.03600000000000279,10,3
5847,-0.06449948400412431,0.02900000000000205,10,4
6437,-0.06454111268877909,0.010000000000000854,10,5
4427,0.038709677419356305,0.021999999999999888,10,6
1825,0.15459933006957555,-0.008000000000002672,10,7
9283,0.03863490019317596,-0.04100000000000251,10,8
3312,0.025749967812535114,-0.05500000000000114,10,9
1769,-0.13407936467008638,-0.018200000000000216,10,10
2614,-0.007735946364105502,0.020400000000000775,10,11
2086,0.05154639175256706,0.02100000000000222,10,12
